98	BitTorrent	BitTorrent	BTTOLD	0.000488	200	0.82%	1401/04/2 14:01
99	پنکیک سواپ	PancakeSwap	CAKE	3.13	1,020,800	1.95%	1401/04/2 14:01

0	بیت کوین	Bitcoin	BTC	20693.98	6,745,616,700	2.63%	1401/04/2 15:08
1	اتریوم	Ethereum	ETH	1109.43	361,640,900	2.91%	1401/04/2 15:08
2	بایننس کوین	Binance Coin	BNB	224.07	73,040,100	3.32%	1401/04/2 15:08
3	تتر	Tether	USDT	0.99921	325,460	0.02%	1401/04/2 15:08
4	یو اس دی کوین	USD Coin	USDC	1.0	326,000	0.00%	1401/04/2 15:08
5	BNB	BNB	BNB	224.07	73,040,100	3.32%	1401/04/2 15:08
6	بایننس یو اس دی	Binance USD	BUSD	1.0	326,000	0.01%	1401/04/2 15:05
7	کاردانو	Cardano	ADA	0.472757	154,100	0.91%	1401/04/2 15:08
8	ریپل	Ripple	XRP	0.32838	107,000	1.75%	1401/04/2 15:08
9	سولانا	Solana	SOL	36.24	11,813,200	5.17%	1401/04/2 15:08
11	دوج کوین	Dogecoin	DOGE	0.064037	20,900	2.46%	1401/04/2 15:08
12	پولکا دات	Polkadot	DOT	7.62	2,483,900	0.53%	1401/04/2 15:08
13	هگز	HEX	HEX	0.041604	13,600	0.27%	1401/04/2 15:03
15	دای	Dai	DAI	1.0	326,000	0.03%	1401/04/2 12:43
16	Wrapped TRON	Wrapped TRON	WTRX	0.064079	20,900	0.71%	1401/04/2 12:56
17	ترون	TRON	TRX	0.063594	20,700	0.08%	1401/04/2 15:08
19	یو ان یو اس سد لئو	UNUS SED LEO	LEO	5.93	1,933,000	2.95%	1401/04/2 14:56
20	شیبا اینو	SHIBA INU	SHIB	1e-05	3	11.11%	1401/04/2 15:08
21	رپد بیت کوین	Wrapped Bitcoin	WBTC	20679.5	6,740,896,600	2.55%	1401/04/2 15:08
22	آوالانچ	Avalanche	AVAX	17.82	5,808,800	8.53%	1401/04/2 15:08
24	یوکَش	yOUcash	YOUC	0.500138	163,000	0.02%	1401/04/2 15:03
25	یونی سواپ	Uniswap	UNI	5.58	1,818,900	7.72%	1401/04/2 15:08
26	پالیگان	Polygon	MATIC	0.500331	163,100	8.09%	1401/04/2 15:08
27	لایت کوین	Litecoin	LTC	54.83	17,872,900	5.54%	1401/04/2 15:08
28	Lido Staked ETH	Lido Staked ETH	STETH	1055.91	344,195,000	3.63%	1401/04/2 15:03
29	اف تی ایکس توکن	FTX Token	FTT	25.94	8,455,700	1.33%	1401/04/2 15:07
30	چین لینک	Chainlink	LINK	6.93	2,259,000	4.37%	1401/04/2 15:08
31	Cronos	Cronos	CRO	0.118904	38,800	3.01%	1401/04/2 15:08
32	استلار	Stellar	XLM	0.11764	38,300	3.49%	1401/04/2 15:08
34	نیر پروتکل	NEAR Protocol	NEAR	3.45	1,124,600	3.29%	1401/04/2 15:07
35	بیت تورنت	BitTorrent	BTT	0.002329	800	0.00%	1401/04/2 15:08
36	الگوراند	Algorand	ALGO	0.323443	105,400	0.80%	1401/04/2 15:08
37	بیت کوین کش	Bitcoin Cash	BCH	116.65	38,024,400	1.44%	1401/04/2 15:08
38	کازماز	Cosmos	ATOM	7.64	2,490,400	4.09%	1401/04/2 15:08
39	بیتکوین بی ای پی 2	Bitcoin BEP2	BTCB	20674.83	6,739,374,300	2.22%	1401/04/2 15:03
40	مونرو	Monero	XMR	117.63	38,343,900	2.57%	1401/04/2 15:08
41	اتریوم کلاسیک	Ethereum Classic	ETC	15.65	5,101,400	1.69%	1401/04/2 15:08
42	Chain	Chain	XCN	0.087991	28,700	1.07%	1401/04/2 15:03
43	وی چین	VeChain	VET	0.02373	7,700	2.74%	1401/04/2 15:08
44	دیسنترالند	Decentraland	MANA	0.893059	291,100	5.64%	1401/04/2 15:08
45	فلو	Flow	FLOW	1.57	511,800	5.37%	1401/04/2 15:08
46	هدِرا	Hedera	HBAR	0.072817	23,700	0.91%	1401/04/2 15:08
47	فرکس	Frax	FRAX	1.0	326,000	0.14%	1401/04/2 13:57
48	اینترنت کامپیوتر	Internet Computer	ICP	5.67	1,848,200	1.43%	1401/04/2 15:07
49	الروند	Elrond	EGLD	59.47	19,385,400	0.24%	1401/04/2 15:08
50	Toncoin	Toncoin	TON	1.08	352,000	0.93%	1401/04/2 14:25
51	تتا نتورک	Theta Network	THETA	1.29	420,500	4.03%	1401/04/2 15:07
53	فایل کوین	Filecoin	FIL	5.78	1,884,100	2.30%	1401/04/2 15:08
54	ایپ کوین	APEcoin	APE	4.25	1,385,400	3.16%	1401/04/2 15:07
55	تزوس	Tezos	XTZ	1.41	459,600	2.92%	1401/04/2 15:08
56	د سندباکس	The Sandbox	SAND	1.01	329,200	5.37%	1401/04/2 15:08
57	هلیوم	Helium	HNT	10.52	3,429,200	3.65%	1401/04/2 15:01
